Country_Code,Country_Name,Year,Domestic_Papers,Domestic_Citations,Domestic_Avg_Citations,International_Papers,International_Citations,International_Avg_Citations,Citation_Gain
AU,Australia,2010,49004,1067462,21.783,33970,1125489,33.132,11.349
AU,Australia,2011,55571,1118724,20.131,38519,1253858,32.552,12.421
AU,Australia,2012,59360,1133132,19.089,42180,1340921,31.79,12.701
AU,Australia,2013,64393,1201721,18.662,48613,1527598,31.424,12.762
AU,Australia,2014,65354,1202295,18.397,52826,1661594,31.454,13.057
AU,Australia,2015,66465,1182995,17.799,57976,1797832,31.01,13.211
AU,Australia,2016,67939,1153249,16.975,63118,1915655,30.35,13.375
AU,Australia,2017,66296,1105500,16.675,66161,2014221,30.444,13.769
AU,Australia,2018,66416,1043109,15.706,73723,2136142,28.975,13.269
AU,Australia,2019,65215,987252,15.138,81535,2222819,27.262,12.124
AU,Australia,2020,68763,936315,13.617,92515,2375755,25.68,12.063
AU,Australia,2021,68830,800195,11.626,94868,2083876,21.966,10.34
AU,Australia,2022,66275,596748,9.004,91906,1620591,17.633,8.629
AU,Australia,2023,64568,419330,6.494,94082,1218973,12.956,6.462
AU,Australia,2024,62672,256187,4.088,95680,819933,8.57,4.482
BR,Brazil,2010,68566,816392,11.907,21171,465639,21.994,10.087
BR,Brazil,2011,77679,837369,10.78,23935,508162,21.231,10.451
BR,Brazil,2012,93499,889044,9.509,27213,542229,19.925,10.416
BR,Brazil,2013,101889,883110,8.667,29760,591133,19.863,11.196
BR,Brazil,2014,113678,911199,8.016,34985,660326,18.875,10.859
BR,Brazil,2015,126496,921740,7.287,39202,731239,18.653,11.366
BR,Brazil,2016,137732,938098,6.811,44761,793969,17.738,10.927
BR,Brazil,2017,152477,988517,6.483,48367,802375,16.589,10.106
BR,Brazil,2018,160573,994595,6.194,51920,836688,16.115,9.921
BR,Brazil,2019,167929,965420,5.749,55661,823181,14.789,9.04
BR,Brazil,2020,188229,1040337,5.527,66928,918517,13.724,8.197
BR,Brazil,2021,179020,792450,4.427,68642,769323,11.208,6.781
BR,Brazil,2022,152831,517946,3.389,65387,553085,8.459,5.07
BR,Brazil,2023,167924,342747,2.041,76564,414949,5.42,3.379
BR,Brazil,2024,162010,196013,1.21,70091,275402,3.929,2.719
CA,Canada,2010,65727,1387187,21.105,44764,1479236,33.045,11.94
CA,Canada,2011,69551,1385858,19.926,48459,1531015,31.594,11.668
CA,Canada,2012,69608,1371309,19.7,51811,1596568,30.815,11.115
CA,Canada,2013,71268,1339700,18.798,57890,1688405,29.166,10.368
CA,Canada,2014,74869,1301424,17.383,61807,1791015,28.978,11.595
CA,Canada,2015,73241,1245737,17.009,65251,1849534,28.345,11.336
CA,Canada,2016,73684,1193020,16.191,73577,1884779,25.616,9.425
CA,Canada,2017,75402,1166455,15.47,71268,1941155,27.237,11.767
CA,Canada,2018,79588,1093466,13.739,77904,1997966,25.647,11.908
CA,Canada,2019,78642,1028921,13.084,86443,2035738,23.55,10.466
CA,Canada,2020,103846,1001431,9.643,97962,2144707,21.893,12.25
CA,Canada,2021,93603,858105,9.167,104350,1892901,18.14,8.973
CA,Canada,2022,77819,606881,7.799,101867,1498671,14.712,6.913
CA,Canada,2023,80649,426675,5.291,106671,1139553,10.683,5.392
CA,Canada,2024,77153,282746,3.665,104866,741695,7.073,3.408
CN,China,2010,579692,3212169,5.541,58470,1712286,29.285,23.744
CN,China,2011,627519,3664215,5.839,68159,1966705,28.855,23.016
CN,China,2012,558443,4164123,7.457,75994,2223999,29.265,21.808
CN,China,2013,557249,4897049,8.788,91251,2609593,28.598,19.81
CN,China,2014,507500,5539007,10.914,109455,3158095,28.853,17.939
CN,China,2015,432116,5992859,13.869,117196,3584491,30.585,16.716
CN,China,2016,346499,6536888,18.866,126361,3956704,31.313,12.447
CN,China,2017,376853,7511575,19.932,142041,4537217,31.943,12.011
CN,China,2018,436811,8670004,19.848,167643,5278538,31.487,11.639
CN,China,2019,496254,9901317,19.952,195658,5944406,30.382,10.43
CN,China,2020,566716,10604251,18.712,232999,6437867,27.63,8.918
CN,China,2021,655002,10600785,16.184,237897,5658164,23.784,7.6
CN,China,2022,810101,10827763,13.366,254960,4893417,19.193,5.827
CN,China,2023,865472,8732538,10.09,260731,3895074,14.939,4.849
CN,China,2024,992879,6452951,6.499,284879,2845279,9.988,3.489
FR,France,2010,119090,1258998,10.572,63196,1778763,28.147,17.575
FR,France,2011,128671,1249822,9.713,69405,1852686,26.694,16.981
FR,France,2012,138946,1225389,8.819,74366,1928194,25.928,17.109
FR,France,2013,144750,1186274,8.195,81618,2019751,24.746,16.551
FR,France,2014,149203,1152105,7.722,86762,2097341,24.173,16.451
FR,France,2015,151123,1088940,7.206,92682,2145690,23.151,15.945
FR,France,2016,156701,1042227,6.651,97127,2211579,22.77,16.119
FR,France,2017,157898,976312,6.183,97662,2160824,22.126,15.943
FR,France,2018,162773,876389,5.384,104377,2174688,20.835,15.451
FR,France,2019,163439,807943,4.943,109945,2110644,19.197,14.254
FR,France,2020,147219,799293,5.429,118227,2181351,18.451,13.022
FR,France,2021,149436,643029,4.303,123145,1830433,14.864,10.561
FR,France,2022,145291,463948,3.193,119584,1410119,11.792,8.599
FR,France,2023,143794,343140,2.386,125358,1088455,8.683,6.297
