Country_Code,Year,Total_Docs_OA
USA,1997,405722
GBR,1997,108898
JPN,1997,97068
DEU,1997,87720
FRA,1997,67268
CAN,1997,46707
ITA,1997,37988
AUS,1997,30378
ESP,1997,27259
CHN,1997,26681
NLD,1997,25315
RUS,1997,21643
IND,1997,19029
SWE,1997,17337
CHE,1997,16744
POL,1997,16303
BRA,1997,15517
BEL,1997,14191
KOR,1997,12172
ISR,1997,11725
TWN,1997,10503
AUT,1997,9033
DNK,1997,9031
MEX,1997,8736
FIN,1997,7953
NOR,1997,6549
CZE,1997,6507
GRC,1997,6010
NZL,1997,5342
HUN,1997,5337
ZAF,1997,5156
TUR,1997,5081
HKG,1997,4848
ARG,1997,4775
IRL,1997,3986
SGP,1997,3894
UKR,1997,3834
PRT,1997,3634
EGY,1997,2951
CHL,1997,2841
SVK,1997,2803
BGR,1997,2445
ROU,1997,2105
COL,1997,1919
HRV,1997,1811
SVN,1997,1752
SAU,1997,1706
THA,1997,1456
PAK,1997,1371
TUN,1997,1368
VEN,1997,1358
SRB,1997,1292
MAR,1997,1248
MYS,1997,1221
NGA,1997,1190
CUB,1997,1186
BLR,1997,1100
IRN,1997,1066
IDN,1997,943
PER,1997,827
DZA,1997,769
PHL,1997,739
KEN,1997,731
PRI,1997,660
LVA,1997,658
LTU,1997,640
EST,1997,631
VNM,1997,612
BGD,1997,591
KWT,1997,580
CRI,1997,546
ARM,1997,462
URY,1997,458
JOR,1997,416
SSD,1997,409
UZB,1997,397
ETH,1997,383
GHA,1997,364
CMR,1997,347
QAT,1997,335
ARE,1997,330
CYP,1997,329
LKA,1997,325
UGA,1997,325
TZA,1997,323
ISL,1997,312
LBN,1997,304
ZWE,1997,298
CIV,1997,292
GEO,1997,257
TJK,1997,254
BOL,1997,250
MDA,1997,249
MMR,1997,249
PAN,1997,244
LUX,1997,241
SEN,1997,213
NER,1997,212
NPL,1997,204
KAZ,1997,203
ECU,1997,181
GTM,1997,175
AZE,1997,170
VGB,1997,168
JAM,1997,163
OMN,1997,163
MLI,1997,149
BDI,1997,147
MLT,1997,147
MKD,1997,146
MOZ,1997,143
ZMB,1997,141
SLV,1997,126
MWI,1997,123
SYR,1997,118
BEN,1997,114
SDN,1997,111
KHM,1997,106
DOM,1997,103
BWA,1997,101
MNG,1997,96
HND,1997,93
BHR,1997,91
PNG,1997,89
