Country_Code,Year,WB_Pubs
AFE,2022,32147.61
AFE,2021,29748.14
AFE,2020,26673.16
AFE,2019,23744.2
AFE,2018,20808.34
AFE,2017,19423.29
AFE,2016,17736.93
AFE,2015,16096.75
AFE,2014,14981.82
AFE,2013,13788.03
AFE,2012,12813.96
AFE,2011,11759.097192885
AFE,2010,10865.3778012311
AFE,2009,9986.74143008882
AFE,2008,8918.09969792829
AFE,2007,8499.3421312698
AFE,2006,8028.56003540229
AFE,2005,7229.67072358123
AFE,2004,6777.70190840899
AFE,2003,6094.2076821748
AFE,2002,6130.32790551615
AFE,2001,5746.20838370241
AFE,2000,5498.8978694626
AFE,1999,5584.81345977634
AFE,1998,5436.0491497116
AFE,1997,5410.08165403097
AFE,1996,5343.78251636869
AFW,2022,16427.93
AFW,2021,15600.59
AFW,2020,13262.46
AFW,2019,11283.85
AFW,2018,9461.42
AFW,2017,7951.93
AFW,2016,7091.34
AFW,2015,6326.3
AFW,2014,6056.44
AFW,2013,5346.36
AFW,2012,5198.13
AFW,2011,5326.41
AFW,2010,4841.57
AFW,2009,4459.39
AFW,2008,3749.59
AFW,2007,3510.25
AFW,2006,3235.49
AFW,2005,2966.44
AFW,2004,2524.39
AFW,2003,2329.83
AFW,2002,2095.6
AFW,2001,1868.87534834432
AFW,2000,1776.33218222457
AFW,1999,1834.9538675682
AFW,1998,1786.24430323058
AFW,1997,1760.23249477238
AFW,1996,1644.63453959234
ARB,2022,107804.99
ARB,2021,93956.92
ARB,2020,76668.96
ARB,2019,67135.88
ARB,2018,55701.93
ARB,2017,48844.78
ARB,2016,45310.22
ARB,2015,39907.31
ARB,2014,36837.68
ARB,2013,34224.99
ARB,2012,31112.57
ARB,2011,27347.11
ARB,2010,24361.41
ARB,2009,21842.44
ARB,2008,18419.92
ARB,2007,16099.580968969
ARB,2006,14635.5553896822
ARB,2005,12967.4423044422
ARB,2004,12028.6217755129
ARB,2003,11215.5090912889
ARB,2002,9809.14174472403
ARB,2001,9431.9593851907
ARB,2000,8731.41356399869
ARB,1999,7919.37721059639
ARB,1998,7911.83622294394
ARB,1997,7411.8807431584
ARB,1996,7023.40986464853
CSS,2022,528.79
CSS,2021,534.33
CSS,2020,506.35
CSS,2019,473.96
CSS,2018,439.79
CSS,2017,444.8
CSS,2016,397.28
CSS,2015,320.67
CSS,2014,412.47
CSS,2013,325.56
CSS,2012,347.66
CSS,2011,325.54
CSS,2010,323.9
CSS,2009,311.56
CSS,2008,273.752876977096
CSS,2007,289.028279483297
CSS,2006,229.252067069071
CSS,2005,266.694639438865
CSS,2004,219.33932840058
CSS,2003,199.848737624389
CSS,2002,177.109715052167
CSS,2001,181.866152811525
CSS,2000,140.070571008426
CSS,1999,134.080105776274
CSS,1998,139.089197864592
CSS,1997,126.788251431583
CSS,1996,111.77754993256
CEB,2022,98889.51
CEB,2021,105413.09
CEB,2020,97538.69
CEB,2019,95681.72
CEB,2018,89559.85
CEB,2017,88914.24
CEB,2016,87470.5
CEB,2015,86912.83
CEB,2014,83037.76
CEB,2013,79215.79
CEB,2012,77414.47
CEB,2011,74681.85
CEB,2010,70956.31
CEB,2009,67000.33
CEB,2008,64908.38
CEB,2007,57830.97
CEB,2006,53261.04
CEB,2005,49807.07
CEB,2004,44248.98
CEB,2003,40549.65
CEB,2002,38188.08
CEB,2001,35550.74
CEB,2000,33683.0
CEB,1999,31107.24
CEB,1998,30307.64
CEB,1997,29131.52
CEB,1996,28442.05
EAR,2022,541101.88
EAR,2021,502414.28
EAR,2020,429598.48
EAR,2019,391092.69
EAR,2018,349873.93
EAR,2017,311591.64
EAR,2016,289058.62
EAR,2015,262238.67
EAR,2014,246659.81
EAR,2013,227491.97
EAR,2012,214999.4
EAR,2011,200340.291817911
EAR,2010,177061.63354478
EAR,2009,159975.69591913
EAR,2008,142573.411514025
EAR,2007,128247.002027625
EAR,2006,116765.28613831
EAR,2005,101922.533745332
EAR,2004,90751.0397895865
EAR,2003,82414.911457461
EAR,2002,74370.1900158968
EAR,2001,67381.1884482177
EAR,2000,62913.6759537101
EAR,1999,59988.0477714648
EAR,1998,57062.3295889677
EAR,1997,55865.1562407753
EAR,1996,53177.3754229868
EAS,2022,1294313.09653981
EAS,2021,1170380.29588931
EAS,2020,1043143.59775039
EAS,2019,980962.541960228
EAS,2018,872743.270222718
EAS,2017,791571.034227269
EAS,2016,749824.343158372
EAS,2015,713383.549145216
EAS,2014,689579.923287446
EAS,2013,655985.306846888
EAS,2012,622404.723941333
