Country_Code,Q1_Percent,Q4_Percent,Citations_Per_Doc,H_Index,Num_Journals
ARE,5.77,11.54,2.373,47.0,52.0
ARG,6.45,38.71,0.572,9.0,31.0
ARM,0.0,100.0,0.232,5.0,2.0
AUS,27.73,10.08,3.119,25.0,119.0
AUT,23.08,25.0,3.116,33.0,52.0
AZE,25.0,0.0,2.082,16.5,4.0
BEL,12.5,41.67,0.766,11.5,48.0
BGD,0.0,40.0,0.951,17.0,5.0
BGR,20.0,16.0,1.384,20.0,25.0
BHR,0.0,100.0,0.39,14.0,1.0
BIH,0.0,0.0,2.835,24.5,2.0
BLR,0.0,100.0,0.51,13.0,1.0
BRA,6.38,15.96,1.88,24.0,188.0
CAN,24.72,15.73,2.558,27.0,178.0
CHE,35.42,2.94,4.198,40.0,511.0
CHL,18.18,21.21,1.303,13.0,66.0
CHN,43.96,9.34,4.087,39.0,182.0
COL,3.7,35.19,0.506,9.0,54.0
CRI,0.0,50.0,0.673,5.5,4.0
CUB,0.0,50.0,0.23,6.0,2.0
CYP,0.0,0.0,0.4,2.0,1.0
CZE,8.05,24.14,1.066,18.0,87.0
DEU,31.98,12.81,3.954,36.0,1038.0
DNK,48.28,6.9,3.754,61.0,29.0
ECU,0.0,100.0,0.8,5.0,1.0
EGY,11.9,4.76,2.822,33.0,84.0
ESP,20.48,13.66,1.012,9.0,454.0
EST,21.43,14.29,0.568,9.5,14.0
ETH,0.0,33.33,1.094,29.0,3.0
FIN,21.05,10.53,1.858,29.0,19.0
FRA,14.45,32.03,2.956,23.0,256.0
GBR,52.65,3.56,4.963,48.0,5274.0
GEO,0.0,100.0,0.339,14.5,2.0
GHA,0.0,0.0,,15.0,1.0
GRC,19.23,15.38,2.484,35.5,26.0
HKG,0.0,50.0,1.778,26.0,14.0
HRV,4.95,26.73,1.163,11.0,101.0
HUN,9.3,23.26,1.591,23.0,43.0
IDN,12.12,15.15,1.115,11.0,33.0
IND,5.88,22.62,1.295,27.0,221.0
IRL,66.04,0.0,4.542,111.0,53.0
IRN,9.9,13.86,1.985,21.0,101.0
IRQ,0.0,0.0,0.777,10.5,2.0
ISL,0.0,100.0,0.085,12.0,3.0
ISR,0.0,37.5,0.922,26.5,8.0
ITA,10.61,31.51,1.99,13.0,311.0
JAM,0.0,100.0,0.05,35.0,1.0
JOR,16.67,33.33,1.028,16.5,6.0
JPN,16.44,17.35,1.753,37.0,219.0
KAZ,0.0,25.0,0.698,11.5,4.0
KEN,0.0,0.0,0.63,6.0,1.0
KOR,22.61,11.56,2.607,29.0,199.0
KWT,0.0,0.0,1.031,16.0,2.0
LBY,0.0,0.0,1.27,16.0,1.0
LKA,0.0,75.0,0.526,6.5,4.0
LTU,3.23,16.13,1.706,25.0,31.0
LVA,25.0,0.0,1.162,12.5,4.0
MAR,0.0,0.0,1.41,10.0,1.0
MDA,50.0,50.0,0.357,8.5,4.0
MEX,1.69,28.81,0.809,15.0,59.0
MKD,0.0,100.0,0.744,18.0,2.0
MLT,0.0,0.0,1.42,12.5,2.0
MNE,0.0,0.0,1.149,13.0,3.0
MWI,0.0,0.0,0.69,24.0,1.0
MYS,10.53,22.81,0.901,16.0,57.0
NGA,0.0,14.29,0.872,31.0,7.0
NLD,52.03,3.86,5.724,58.0,1451.0
NOR,0.0,33.33,0.334,13.0,9.0
NPL,0.0,100.0,0.56,21.0,1.0
NZL,18.99,7.59,2.626,34.0,79.0
PAK,4.76,47.62,0.957,23.0,21.0
PER,0.0,33.33,0.68,8.5,6.0
PHL,9.09,54.55,0.432,7.0,11.0
POL,10.26,24.36,1.379,21.0,234.0
PRI,0.0,100.0,0.42,31.0,2.0
PRT,5.88,47.06,1.114,6.0,34.0
ROU,6.32,32.63,1.221,17.0,95.0
RUS,19.61,24.84,0.654,8.0,153.0
SAU,40.0,10.0,5.097,55.5,10.0
SGP,20.71,7.86,2.07,29.5,140.0
SRB,6.12,20.41,1.238,18.0,49.0
SVK,11.63,13.95,1.144,15.0,43.0
SVN,14.71,20.59,1.042,14.0,34.0
SWE,26.32,10.53,4.826,48.0,19.0
THA,5.0,45.0,0.84,16.5,20.0
TTO,0.0,100.0,0.42,19.0,1.0
TUR,3.42,31.62,1.089,15.0,117.0
TWN,24.0,22.0,2.647,22.0,50.0
UGA,0.0,0.0,0.98,54.0,1.0
UKR,4.17,41.67,0.89,10.0,24.0
USA,47.97,6.4,4.506,53.0,5016.0
VEN,0.0,72.73,0.279,11.0,11.0
VNM,0.0,0.0,1.87,11.0,1.0
ZAF,7.46,16.42,0.916,18.0,67.0
